artist,song,genre
Future,Mask Off,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Childish Gambino,Redbone,"['atl hip hop', 'hip hop', 'rap']"
Future,Xanny Family,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Beach House,Master Of None,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']"
Junior Boys,Parallel Lines,"['alternative dance', 'art pop', 'balearic', 'canadian electropop', 'chillwave', 'electronica', 'electropop', 'hamilton on indie', 'indietronica', 'microhouse', 'neo-synthpop', 'new rave']"
Drake,Sneakin’,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Drake,Childs Play,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Omega,Gyöngyhajú lány,['rap dominicano']
Death Grips,I've Seen Footage,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop']"
Honey Claws,Digital Animal,need_to_add
The Avalanches,Subways - In Flagranti Extended Edit,"['alternative dance', 'australian alternative rock', 'australian dance', 'collage pop', 'electronica', 'indietronica', 'new rave', 'psychedelic hip hop']"
Modern Folk Üçlüsü,Donme Dolap - Baris K Edit,"['anadolu rock', 'classic turkish pop', 'turkish psych']"
Erkin Koray,Cemalim,['anadolu rock']
Lil Yachty,One Night,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']"
PNL,Oh lala,"['french hip hop', 'pop urbaine']"
Crystal Castles,Char,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']"
New Order,World In Motion,"['dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'rock', 'synthpop', 'uk post-punk']"
Funkadelic,One Nation Under a Groove,"['funk', 'funk rock', 'p funk', 'psychedelic rock', 'psychedelic soul', 'soul']"
Chief Keef,Bouncin,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Le Youth,C O O L - Radio Edit,"['edm', 'house', 'nu disco', 'pop dance', 'tropical house', 'vapor soul']"
Cajmere,Percolator (Jamie Jones Vault Mix) - mixed,"['chicago house', 'classic house', 'deep house', 'footwork']"
The Rapture,House of Jealous Lovers,"['alternative dance', 'dance-punk', 'electroclash', 'electronica', 'indie rock', 'modern rock', 'new rave']"
Young Thug,Imma Ride,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
Ty Segall,Girlfriend,"['alternative rock', 'bay area indie', 'blues rock', 'garage rock', 'indie garage rock', 'indie rock', 'modern rock', 'neo-psychedelic', 'noise pop', 'oc indie', 'punk blues']"
Myron & E,If I Gave You My Love,need_to_add
TR/ST,This Ready Flesh,"['alternative dance', 'art pop', 'canadian electropop', 'dark synthpop']"
A-Trak,Lose My Mind,"['canadian electronic', 'disco house', 'edm', 'electro house', 'electronic trap', 'turntablism']"
Crystal Castles,Char,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']"
Rae Sremmurd,Look Alive,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Father,Please Stop Making Fake Versace,"['chamber pop', 'indie pop', 'indie rock']"
2milly,Milly Rock,"['trap', 'viral trap']"
Ty Dolla $ign,Blasé (feat. Future & Rae Sremmurd),"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
Young Thug,Best Friend,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
Young Thug,Hercules,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
Santigold,Who Be Lovin Me (feat. ILOVEMAKONNEN),"['alternative dance', 'electropop', 'escape room', 'new rave']"
Young Thug,Check,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
Three 6 Mafia,Poppin' My Collar,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Drake,Jumpman,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Beyoncé,11-Jul,"['dance pop', 'pop', 'r&b']"
Rockwell,Somebody's Watching Me,need_to_add
Disclosure,Bang That,"['edm', 'house', 'pop', 'uk dance']"
ILoveMakonnen,I Don't Sell Molly No More,"['atl hip hop', 'lgbtq+ hip hop', 'trap', 'underground hip hop']"
Riff Raff,Versace Python,['trap']
Kanye West,Monster,"['chicago rap', 'rap']"
Young M.A.,OOOUUU,"['lgbtq+ hip hop', 'nyc rap', 'pop rap', 'rap', 'trap']"
Mark Morrison,Return Of The Mack - C & J Street Mix,['british soul']
William Onyeabor,Fantastic Man,"['afrobeat', 'afropop', 'world']"
Dr. John,Right Place Wrong Time,"['blues', 'blues rock', 'country rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'roots rock', 'soul']"
T. P. Orchestre Poly-Rythmo,Azon de ma gnin kpevi,"['afrobeat', 'afropop', 'beninese pop', 'classic afrobeat', 'highlife', 'world']"
Ebo Taylor,Odofo Nyi Akyiri Biara,"['afro-funk', 'afrobeat', 'afropop', 'funk', 'highlife', 'soul', 'world']"
Neon Indian,Annie,"['alternative dance', 'chillwave', 'denton tx indie', 'dream pop', 'experimental pop', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']"
Future Islands,The Chase,"['alternative dance', 'baltimore indie', 'chillwave', 'indie rock', 'modern rock']"
Leon Bridges,Coming Home,['modern blues']
Beach House,Wishes,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']"
Post Malone,White Iverson,"['dfw rap', 'melodic rap', 'rap']"
Jamie xx,I Know There's Gonna Be (Good Times),"['electronica', 'future garage', 'new rave']"
Jamie xx,Loud Places,"['electronica', 'future garage', 'new rave']"
A$AP Rocky,L$D,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
Vince Staples,Dopeman,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
Best Coast,California Nights,"['indie pop', 'indie rock', 'indie surf', 'la indie', 'metropopolis']"
Ariel Pink's Haunted Graffiti,Baby,"['art pop', 'chillwave', 'dream pop', 'experimental pop', 'indie garage rock', 'la indie', 'neo-psychedelic', 'new weird america']"
"Bobby ""Blue"" Bland",Ain't No Love In The Heart Of The City - Single Version,"['blues', 'electric blues', 'soul', 'soul blues', 'southern soul', 'traditional blues']"
Yacht Club,Fail to Cry,need_to_add
Portugal. The Man,Evil Friends (feat. Danny Brown) - Jake One Remix,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
Umit Aksu Orkestrasi,Ikimiz Bir Fidaniz - Baris K Edit,need_to_add
Sweet Valley,Sentimental Trash,['plunderphonics']
CHVRCHES,Get Away,"['dance pop', 'electropop', 'indie pop', 'metropopolis', 'neo-synthpop', 'shimmer pop']"
Father,Look At Wrist,"['chamber pop', 'indie pop', 'indie rock']"
Caribou,Our Love,"['alternative dance', 'chillwave', 'electronica', 'electropop', 'folktronica', 'indie rock', 'indietronica', 'intelligent dance music', 'new rave']"
Ezale,I Ain't Trippin off Nothin,"['cali rap', 'hyphy', 'oakland hip hop', 'west coast trap']"
Disciples,They Don't Know - Original Mix,"['deep groove house', 'disco house', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']"
Amadou & Mariam,Sabali,"['afropop', 'malian blues', 'mande pop', 'world']"
Dusty Springfield,Spooky,"['adult standards', 'brill building pop', 'british invasion', 'folk', 'folk rock', 'mellow gold', 'soul']"
Average White Band,Pick Up The Pieces,"['disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm', 'soul']"
The Sonics,Have Love Will Travel,"['classic garage rock', 'freakbeat', 'garage rock', 'protopunk', 'psychedelic rock', 'punk', 'punk blues']"
TR/ST,Capitol,"['alternative dance', 'art pop', 'canadian electropop', 'dark synthpop']"
Parquet Courts,Uncast Shadow Of A Southern Myth,"['alternative rock', 'brooklyn indie', 'denton tx indie', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'noise pop']"
Nina Simone,I Shall Be Released - Remastered,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']"
How To Dress Well,Words I Don't Remember,"['art pop', 'chillwave', 'metropopolis']"
Twin Shadow,To The Top,"['alternative dance', 'art pop', 'chillwave', 'dream pop', 'electropop', 'indietronica', 'metropopolis', 'shimmer pop']"
