artist,song,ids,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,mode,valence
Kate Bush,Running Up That Hill (A Deal With God),75FEaRjZTKLhTrFGsfMUXR,Rock,0.72,0.629,298933,0.547,0.00314,10,0.0604,-13.123,0.055,108.375,0,0.197
The Killers,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,Rock,0.00121,0.352,222973,0.911,0,1,0.0995,-5.23,0.0747,148.033,1,0.236
Arctic Monkeys,505,0BxE4FqsDD1Ot4YuBXwAPp,Rock,0.00287,0.526,253587,0.866,7.78E-05,0,0.0945,-5.822,0.0568,140.266,1,0.248
Sam Fender,Seventeen Going Under,5rF6YUIlgiat22OT1lWspJ,Rock,0.00438,0.48,297933,0.87,0.00603,1,0.0826,-4.792,0.0362,161.953,1,0.584
George Ezra,Green Green Grass,3rk4aJ0vAj3cFUIQEeASkT,Rock,0.0695,0.685,167614,0.738,0,8,0.128,-4.413,0.0595,112.972,1,0.8
OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,Rock,0.0826,0.704,148486,0.797,0.000745,0,0.0546,-5.927,0.0475,139.994,1,0.825
The Neighbourhood,Sweater Weather,0cQVqPuHQP4KEwc7ZUQmj6,Rock,0.0426,0.613,240427,0.808,0.0159,10,0.102,-2.851,0.0346,124.037,1,0.38
Vance Joy,Riptide,7yq4Qj7cqayVTp3FF9CWbm,Rock,0.431,0.484,204280,0.731,0,1,0.151,-6.694,0.0379,101.654,1,0.51
Declan McKenna,Brazil,4sNG6zQBmtq7M8aeeKJRMQ,Rock,0.0941,0.687,252307,0.617,1.27E-05,4,0.0898,-5.213,0.0287,121.079,1,0.665
Kings of Leon,Sex on Fire,5A1FmxbYVRZKy4nc16MAue,Rock,0.00172,0.542,203347,0.905,0.0104,9,0.136,-5.653,0.054,153.398,1,0.374
Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,Rock,0.186,0.548,272394,0.532,0.000263,5,0.217,-7.596,0.0323,85.03,1,0.405
Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,Rock,0.0483,0.691,161124,0.631,1.13E-05,2,0.104,-6.478,0.0368,92.004,1,0.8
Fleetwood Mac,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Rock,0.0644,0.828,257800,0.492,0.00428,0,0.128,-9.744,0.0276,120.151,1,0.789
The Kooks,Naive,7BHPGtpuuWWsvE7cCaMuEU,Rock,0.0759,0.391,203507,0.808,0,8,0.149,-6.209,0.0892,100.304,0,0.737
Panic! At The Disco,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,Rock,0.00272,0.506,208707,0.817,0,11,0.0486,-5.051,0.0335,109.952,0,0.506
Stereophonics,Dakota,3qaSqrrevBrb84xl5JlptU,Rock,0.129,0.506,297427,0.93,0.00682,4,0.0931,-3.499,0.0675,146.994,1,0.305
Electric Light Orchestra,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,Rock,0.652,0.388,303373,0.338,3.73E-06,10,0.248,-10.054,0.0329,177.765,1,0.478
Bastille,Pompeii,4Ub8UsjWuewQrPhuepfVpd,Rock,0.0755,0.679,214148,0.715,0,9,0.271,-6.383,0.0407,127.435,1,0.571
